male,female
формаліст,формалістка
фотограф,"фотографка, фотографиня"
фотомодель,фотомодель
фотохудожник,фотохудожниця
француз,французка
фрезерувальник,фрезерувальниця
фрілансер,фрілансерка
фтизіатр,фтизіатриня
фундатор,фундаторка
футболіст,футболістка
фігурант,фігурантка
фігурист,фігуристка
фізкультурник,фізкультурниця
філантроп,"філантропка, філантропиня"
філателіст,філателістка
філолог,філологиня
філософ,філософиня
фіналіст,фіналістка
фінансист,фінансистка
хабарник,хабарниця
хедлайнер,хедлайнерка
хижак,хижачка
хитрун,хитрунка
хокеїст,хокеїстка
холостяк,холостячка
хореограф,"хореографка, хореографиня"
хорист,хористка
хормейстер,хормейстерка
художник,художниця
хуліган,хуліганка
хімік,хімікиня
хірург,хірургиня
цар,цариця
циркач,циркачка
цілитель,цілителька
цінитель,цінителька
чаклун,чаклунка
чарівник,чарівниця
частувальник,частувальниця
чемпіон,чемпіонка
черговий,чергова
чернець,черниця
чиновник,чиновниця
читач,читачка
член,членкиня
член УПА,членкиня УПА
чужинець,чужинка
шанувальник,шанувальниця
шахрай,шахрайка
шахтар,шахтарка
шахіст,шахістка
шеф,шефиня
шеф-кухар,шеф-кухарка
шинкар,шинкарка
школяр,школярка
шліфувальник,шліфувальниця
шовініст,шовіністка
шпигун,шпигунка
штангіст,штангістка
шульга,шульга
щасливець,щасливиця
щебетун,"щебетунка, щебетуха"
щебетій,щебетійка
щедрувальник,щедрувальниця
щедрівник,щедрівниця
ювіляр,ювілярка
юдей,юдейка
юзер,юзерка
юнак,юнка
юніор,юніорка
юрисконсульт,юрисконсультка
юрист,юристка
язичник,язичниця
японець,японка
японіст,японістка
ясновидець,ясновидиця
яхтсмен,яхтсменка
євгеніст,євгеністка
євразієць,євразійка
єврей,єврейка
європеєць,європейка
єгиптянин,єгиптянка
єдиновірець,єдиновірка
єретик,"єретичка, єретиця"
ігумен,ігуменя
ідеаліст,ідеалістка
іконописець,іконописиця
ілюзіоніст,ілюзіоністка
ілюстратор,ілюстраторка
іменинник,іменинниця
іммігрант,іммігрантка
імунолог,імунологиня
іміджмейкер,іміджмейкера
імітатор,імітаторка
інвестор,інвесторка
індивідуаліст,індивідуалістка
індуїст,індуїстка
індіанець,індіанка
інженер,інженерка
іноземець,іноземка
інспектор,інспекторка
інструктор,інструкторка
інтелектуал,інтелектуалка
інтелігент,інтелігентка
інтерв’юант,інтерв’юантка
інтерв’юер,інтерв’юерка
інтерн,інтернка
інтриган,інтриганка
інтроверт,інтровертка
інфекціоніст,інфекціоністка
інформатик,інформатикиня
інформатор,інформаторка
ініціатор,ініціаторка
іранець,іранка
ірландець,ірландка
ісламець,ісламка
ісландець,ісландка
іспанець,іспанка
історик,історикиня
італієць,італійка
іудей,іудейка
іхтіолог,іхтіологиня
